Executing Genetic Algorithm with parameters: 
capacity = 250000; maxIterations = 75; popSize = 100; pc = 0.7; pm = 0.001; sameFitnessValueAbortPercentage = 0.9; threadPoolSize = 4

iteration,aValue,cValue,cWeight,cContent,bValue,bWeight,bContent
1,-147578,499670,247037,AA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;ID;KD;LD;ND;QD;TD;UD;WD;AE;EE;FE;GE;KE;LE;PE;QE;UE;,499670,247037,AA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;ID;KD;LD;ND;QD;TD;UD;WD;AE;EE;FE;GE;KE;LE;PE;QE;UE;
2,-106158,499670,247037,AA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;ID;KD;LD;ND;QD;TD;UD;WD;AE;EE;FE;GE;KE;LE;PE;QE;UE;,499670,247037,AA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;ID;KD;LD;ND;QD;TD;UD;WD;AE;EE;FE;GE;KE;LE;PE;QE;UE;
3,-54349.3,499670,247037,AA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;ID;KD;LD;ND;QD;TD;UD;WD;AE;EE;FE;GE;KE;LE;PE;QE;UE;,499670,247037,AA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;ID;KD;LD;ND;QD;TD;UD;WD;AE;EE;FE;GE;KE;LE;PE;QE;UE;
4,111399,505375,249436,AA;DA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;QC;SC;TC;VC;WC;XC;BD;DD;FD;ID;KD;LD;ND;QD;TD;UD;WD;AE;EE;FE;GE;KE;LE;PE;QE;UE;,505375,249436,AA;DA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;QC;SC;TC;VC;WC;XC;BD;DD;FD;ID;KD;LD;ND;QD;TD;UD;WD;AE;EE;FE;GE;KE;LE;PE;QE;UE;
5,286082,507365,249025,AA;EA;FA;GA;JA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;GD;KD;MD;OD;PD;TD;UD;AE;EE;JE;KE;OE;QE;VE;WE;,507365,249025,AA;EA;FA;GA;JA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;GD;KD;MD;OD;PD;TD;UD;AE;EE;JE;KE;OE;QE;VE;WE;
6,338465,505375,249436,AA;DA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;QC;SC;TC;VC;WC;XC;BD;DD;FD;ID;KD;LD;ND;QD;TD;UD;WD;AE;EE;FE;GE;KE;LE;PE;QE;UE;,507365,249025,AA;EA;FA;GA;JA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;GD;KD;MD;OD;PD;TD;UD;AE;EE;JE;KE;OE;QE;VE;WE;
7,400206,507411,249687,AA;DA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;FC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;GD;KD;MD;OD;PD;TD;UD;AE;EE;FE;GE;KE;LE;PE;QE;UE;,507411,249687,AA;DA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;FC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;GD;KD;MD;OD;PD;TD;UD;AE;EE;FE;GE;KE;LE;PE;QE;UE;
8,417015,505375,249436,AA;DA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;QC;SC;TC;VC;WC;XC;BD;DD;FD;ID;KD;LD;ND;QD;TD;UD;WD;AE;EE;FE;GE;KE;LE;PE;QE;UE;,507411,249687,AA;DA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;FC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;GD;KD;MD;OD;PD;TD;UD;AE;EE;FE;GE;KE;LE;PE;QE;UE;
9,398277,505375,249436,AA;DA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;QC;SC;TC;VC;WC;XC;BD;DD;FD;ID;KD;LD;ND;QD;TD;UD;WD;AE;EE;FE;GE;KE;LE;PE;QE;UE;,507411,249687,AA;DA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;FC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;GD;KD;MD;OD;PD;TD;UD;AE;EE;FE;GE;KE;LE;PE;QE;UE;
10,419763,504461,248691,AA;DA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;ID;KD;LD;ND;QD;TD;UD;WD;AE;EE;FE;GE;KE;LE;PE;TE;WE;,507411,249687,AA;DA;EA;FA;GA;LA;QA;RA;SA;TA;UA;VA;WA;DB;FB;HB;IB;NB;OB;QB;TB;VB;WB;BC;EC;FC;GC;HC;IC;MC;NC;OC;QC;SC;TC;VC;WC;XC;BD;DD;FD;GD;KD;MD;OD;PD;TD;UD;AE;EE;FE;GE;KE;LE;PE;QE;UE;
