Executing Genetic Algorithm with parameters: 
capacity = 250000; maxIterations = 75; popSize = 100; pc = 0.7; pm = 0.001; sameFitnessValueAbortPercentage = 0.9; threadPoolSize = 1

iteration,aValue,cValue,cWeight,cContent,bValue,bWeight,bContent
1,-161595,-9473,252642,AA;DA;JA;NA;QA;RA;SA;UA;XA;EB;HB;LB;NB;OB;RB;SB;WB;CC;DC;FC;HC;JC;NC;QC;TC;CD;ED;GD;KD;ND;OD;QD;RD;SD;UD;VD;CE;DE;FE;HE;JE;KE;PE;VE;XE;,-9473,252642,AA;DA;JA;NA;QA;RA;SA;UA;XA;EB;HB;LB;NB;OB;RB;SB;WB;CC;DC;FC;HC;JC;NC;QC;TC;CD;ED;GD;KD;ND;OD;QD;RD;SD;UD;VD;CE;DE;FE;HE;JE;KE;PE;VE;XE;
2,-133503,-8364,252409,BA;CA;IA;JA;LA;NA;QA;SA;VA;AB;HB;JB;KB;MB;PB;QB;TB;VB;WB;XB;AC;CC;DC;EC;FC;IC;RC;SC;UC;VC;WC;XC;AD;DD;FD;GD;LD;OD;TD;UD;XD;GE;HE;JE;KE;LE;NE;RE;VE;WE;XE;,-8364,252409,BA;CA;IA;JA;LA;NA;QA;SA;VA;AB;HB;JB;KB;MB;PB;QB;TB;VB;WB;XB;AC;CC;DC;EC;FC;IC;RC;SC;UC;VC;WC;XC;AD;DD;FD;GD;LD;OD;TD;UD;XD;GE;HE;JE;KE;LE;NE;RE;VE;WE;XE;
3,-105038,487670,243422,BA;CA;EA;JA;OA;UA;VA;WA;XA;AB;DB;EB;FB;GB;HB;OB;QB;BC;CC;DC;EC;HC;JC;LC;RC;SC;UC;VC;WC;XC;AD;DD;FD;GD;LD;OD;TD;UD;XD;EE;FE;GE;IE;JE;KE;LE;NE;QE;RE;TE;UE;VE;,487670,243422,BA;CA;EA;JA;OA;UA;VA;WA;XA;AB;DB;EB;FB;GB;HB;OB;QB;BC;CC;DC;EC;HC;JC;LC;RC;SC;UC;VC;WC;XC;AD;DD;FD;GD;LD;OD;TD;UD;XD;EE;FE;GE;IE;JE;KE;LE;NE;QE;RE;TE;UE;VE;
4,-45068.7,498481,245443,BA;EA;OA;QA;RA;UA;VA;WA;XA;AB;DB;EB;FB;GB;HB;OB;QB;BC;CC;DC;EC;HC;LC;MC;NC;QC;RC;SC;TC;VC;AD;CD;DD;FD;JD;KD;MD;QD;RD;TD;XD;AE;DE;IE;KE;NE;PE;VE;XE;,498481,245443,BA;EA;OA;QA;RA;UA;VA;WA;XA;AB;DB;EB;FB;GB;HB;OB;QB;BC;CC;DC;EC;HC;LC;MC;NC;QC;RC;SC;TC;VC;AD;CD;DD;FD;JD;KD;MD;QD;RD;TD;XD;AE;DE;IE;KE;NE;PE;VE;XE;
5,98240.8,508094,249852,BA;EA;OA;QA;RA;SA;UA;XA;AB;DB;EB;GB;HB;LB;NB;OB;QB;RB;TB;WB;XB;AC;BC;GC;HC;JC;KC;LC;MC;SC;TC;VC;AD;BD;DD;FD;HD;MD;OD;QD;RD;TD;XD;AE;DE;IE;KE;NE;PE;VE;XE;,508094,249852,BA;EA;OA;QA;RA;SA;UA;XA;AB;DB;EB;GB;HB;LB;NB;OB;QB;RB;TB;WB;XB;AC;BC;GC;HC;JC;KC;LC;MC;SC;TC;VC;AD;BD;DD;FD;HD;MD;OD;QD;RD;TD;XD;AE;DE;IE;KE;NE;PE;VE;XE;
6,267130,508094,249852,BA;EA;OA;QA;RA;SA;UA;XA;AB;DB;EB;GB;HB;LB;NB;OB;QB;RB;TB;WB;XB;AC;BC;GC;HC;JC;KC;LC;MC;SC;TC;VC;AD;BD;DD;FD;HD;MD;OD;QD;RD;TD;XD;AE;DE;IE;KE;NE;PE;VE;XE;,508094,249852,BA;EA;OA;QA;RA;SA;UA;XA;AB;DB;EB;GB;HB;LB;NB;OB;QB;RB;TB;WB;XB;AC;BC;GC;HC;JC;KC;LC;MC;SC;TC;VC;AD;BD;DD;FD;HD;MD;OD;QD;RD;TD;XD;AE;DE;IE;KE;NE;PE;VE;XE;
7,392276,508094,249852,BA;EA;OA;QA;RA;SA;UA;XA;AB;DB;EB;GB;HB;LB;NB;OB;QB;RB;TB;WB;XB;AC;BC;GC;HC;JC;KC;LC;MC;SC;TC;VC;AD;BD;DD;FD;HD;MD;OD;QD;RD;TD;XD;AE;DE;IE;KE;NE;PE;VE;XE;,508094,249852,BA;EA;OA;QA;RA;SA;UA;XA;AB;DB;EB;GB;HB;LB;NB;OB;QB;RB;TB;WB;XB;AC;BC;GC;HC;JC;KC;LC;MC;SC;TC;VC;AD;BD;DD;FD;HD;MD;OD;QD;RD;TD;XD;AE;DE;IE;KE;NE;PE;VE;XE;
8,396489,508094,249852,BA;EA;OA;QA;RA;SA;UA;XA;AB;DB;EB;GB;HB;LB;NB;OB;QB;RB;TB;WB;XB;AC;BC;GC;HC;JC;KC;LC;MC;SC;TC;VC;AD;BD;DD;FD;HD;MD;OD;QD;RD;TD;XD;AE;DE;IE;KE;NE;PE;VE;XE;,508094,249852,BA;EA;OA;QA;RA;SA;UA;XA;AB;DB;EB;GB;HB;LB;NB;OB;QB;RB;TB;WB;XB;AC;BC;GC;HC;JC;KC;LC;MC;SC;TC;VC;AD;BD;DD;FD;HD;MD;OD;QD;RD;TD;XD;AE;DE;IE;KE;NE;PE;VE;XE;
9,423383,508094,249852,BA;EA;OA;QA;RA;SA;UA;XA;AB;DB;EB;GB;HB;LB;NB;OB;QB;RB;TB;WB;XB;AC;BC;GC;HC;JC;KC;LC;MC;SC;TC;VC;AD;BD;DD;FD;HD;MD;OD;QD;RD;TD;XD;AE;DE;IE;KE;NE;PE;VE;XE;,508094,249852,BA;EA;OA;QA;RA;SA;UA;XA;AB;DB;EB;GB;HB;LB;NB;OB;QB;RB;TB;WB;XB;AC;BC;GC;HC;JC;KC;LC;MC;SC;TC;VC;AD;BD;DD;FD;HD;MD;OD;QD;RD;TD;XD;AE;DE;IE;KE;NE;PE;VE;XE;
10,422652,502170,247192,BA;EA;OA;QA;RA;SA;UA;VA;XA;AB;DB;EB;GB;HB;LB;NB;OB;QB;RB;TB;WB;XB;AC;BC;GC;HC;JC;LC;MC;QC;SC;TC;VC;AD;BD;DD;FD;HD;MD;OD;QD;RD;TD;XD;AE;DE;IE;KE;NE;PE;VE;XE;,508094,249852,BA;EA;OA;QA;RA;SA;UA;XA;AB;DB;EB;GB;HB;LB;NB;OB;QB;RB;TB;WB;XB;AC;BC;GC;HC;JC;KC;LC;MC;SC;TC;VC;AD;BD;DD;FD;HD;MD;OD;QD;RD;TD;XD;AE;DE;IE;KE;NE;PE;VE;XE;
