Executing Genetic Algorithm with parameters: 
capacity = 250000; maxIterations = 75; popSize = 100; pc = 0.7; pm = 0.001; sameFitnessValueAbortPercentage = 0.9; threadPoolSize = 8

iteration,aValue,cValue,cWeight,cContent,bValue,bWeight,bContent
1,-155010,-3697,250399,DA;FA;GA;JA;NA;QA;UA;WA;AB;FB;GB;HB;IB;LB;NB;OB;RB;SB;TB;WB;AC;BC;CC;EC;FC;LC;NC;SC;VC;WC;AD;CD;ED;FD;OD;PD;XD;CE;DE;EE;FE;IE;JE;KE;LE;PE;RE;UE;VE;XE;,-3697,250399,DA;FA;GA;JA;NA;QA;UA;WA;AB;FB;GB;HB;IB;LB;NB;OB;RB;SB;TB;WB;AC;BC;CC;EC;FC;LC;NC;SC;VC;WC;AD;CD;ED;FD;OD;PD;XD;CE;DE;EE;FE;IE;JE;KE;LE;PE;RE;UE;VE;XE;
2,-124802,499985,247684,BA;FA;IA;LA;MA;NA;QA;RA;UA;WA;CB;DB;HB;KB;MB;NB;RB;VB;WB;XB;BC;CC;DC;EC;GC;HC;MC;NC;PC;SC;WC;BD;ED;FD;ID;PD;QD;TD;WD;FE;HE;PE;RE;SE;TE;WE;XE;,499985,247684,BA;FA;IA;LA;MA;NA;QA;RA;UA;WA;CB;DB;HB;KB;MB;NB;RB;VB;WB;XB;BC;CC;DC;EC;GC;HC;MC;NC;PC;SC;WC;BD;ED;FD;ID;PD;QD;TD;WD;FE;HE;PE;RE;SE;TE;WE;XE;
3,-102038,499757,246426,BA;CA;EA;HA;JA;MA;NA;QA;VA;WA;XA;AB;FB;GB;HB;KB;MB;NB;RB;VB;WB;XB;BC;CC;DC;EC;GC;HC;MC;NC;PC;SC;WC;BD;ED;FD;ID;PD;QD;TD;WD;FE;HE;PE;RE;SE;TE;WE;XE;,499985,247684,BA;FA;IA;LA;MA;NA;QA;RA;UA;WA;CB;DB;HB;KB;MB;NB;RB;VB;WB;XB;BC;CC;DC;EC;GC;HC;MC;NC;PC;SC;WC;BD;ED;FD;ID;PD;QD;TD;WD;FE;HE;PE;RE;SE;TE;WE;XE;
4,-26637.9,511154,249058,BA;GA;IA;KA;OA;QA;WA;XA;AB;DB;GB;JB;KB;LB;QB;UB;VB;WB;FC;GC;KC;LC;MC;PC;SC;VC;DD;GD;HD;KD;ND;PD;QD;SD;TD;CE;DE;EE;FE;IE;ME;PE;QE;SE;UE;VE;WE;XE;,511154,249058,BA;GA;IA;KA;OA;QA;WA;XA;AB;DB;GB;JB;KB;LB;QB;UB;VB;WB;FC;GC;KC;LC;MC;PC;SC;VC;DD;GD;HD;KD;ND;PD;QD;SD;TD;CE;DE;EE;FE;IE;ME;PE;QE;SE;UE;VE;WE;XE;
5,116083,511154,249058,BA;GA;IA;KA;OA;QA;WA;XA;AB;DB;GB;JB;KB;LB;QB;UB;VB;WB;FC;GC;KC;LC;MC;PC;SC;VC;DD;GD;HD;KD;ND;PD;QD;SD;TD;CE;DE;EE;FE;IE;ME;PE;QE;SE;UE;VE;WE;XE;,511154,249058,BA;GA;IA;KA;OA;QA;WA;XA;AB;DB;GB;JB;KB;LB;QB;UB;VB;WB;FC;GC;KC;LC;MC;PC;SC;VC;DD;GD;HD;KD;ND;PD;QD;SD;TD;CE;DE;EE;FE;IE;ME;PE;QE;SE;UE;VE;WE;XE;
6,329004,511154,249058,BA;GA;IA;KA;OA;QA;WA;XA;AB;DB;GB;JB;KB;LB;QB;UB;VB;WB;FC;GC;KC;LC;MC;PC;SC;VC;DD;GD;HD;KD;ND;PD;QD;SD;TD;CE;DE;EE;FE;IE;ME;PE;QE;SE;UE;VE;WE;XE;,511154,249058,BA;GA;IA;KA;OA;QA;WA;XA;AB;DB;GB;JB;KB;LB;QB;UB;VB;WB;FC;GC;KC;LC;MC;PC;SC;VC;DD;GD;HD;KD;ND;PD;QD;SD;TD;CE;DE;EE;FE;IE;ME;PE;QE;SE;UE;VE;WE;XE;
7,389226,505813,249226,FA;IA;LA;MA;OA;QA;RA;UA;WA;AB;BB;DB;FB;GB;IB;KB;MB;NB;OB;UB;WB;XB;AC;BC;CC;DC;EC;GC;HC;MC;NC;PC;SC;WC;BD;ED;FD;ID;PD;QD;TD;WD;FE;HE;PE;RE;SE;TE;WE;XE;,511154,249058,BA;GA;IA;KA;OA;QA;WA;XA;AB;DB;GB;JB;KB;LB;QB;UB;VB;WB;FC;GC;KC;LC;MC;PC;SC;VC;DD;GD;HD;KD;ND;PD;QD;SD;TD;CE;DE;EE;FE;IE;ME;PE;QE;SE;UE;VE;WE;XE;
8,402858,505813,249226,FA;IA;LA;MA;OA;QA;RA;UA;WA;AB;BB;DB;FB;GB;IB;KB;MB;NB;OB;UB;WB;XB;AC;BC;CC;DC;EC;GC;HC;MC;NC;PC;SC;WC;BD;ED;FD;ID;PD;QD;TD;WD;FE;HE;PE;RE;SE;TE;WE;XE;,511154,249058,BA;GA;IA;KA;OA;QA;WA;XA;AB;DB;GB;JB;KB;LB;QB;UB;VB;WB;FC;GC;KC;LC;MC;PC;SC;VC;DD;GD;HD;KD;ND;PD;QD;SD;TD;CE;DE;EE;FE;IE;ME;PE;QE;SE;UE;VE;WE;XE;
9,455783,505542,249826,CA;KA;MA;NA;RA;SA;VA;WA;BB;FB;HB;JB;MB;OB;RB;SB;TB;VB;WB;AC;BC;CC;DC;EC;FC;GC;HC;MC;NC;PC;SC;WC;BD;ED;FD;ID;PD;QD;TD;WD;FE;HE;PE;RE;SE;TE;WE;XE;,511154,249058,BA;GA;IA;KA;OA;QA;WA;XA;AB;DB;GB;JB;KB;LB;QB;UB;VB;WB;FC;GC;KC;LC;MC;PC;SC;VC;DD;GD;HD;KD;ND;PD;QD;SD;TD;CE;DE;EE;FE;IE;ME;PE;QE;SE;UE;VE;WE;XE;
10,419047,504927,248516,BA;DA;FA;GA;KA;NA;SA;UA;WA;XA;AB;BB;FB;GB;HB;KB;MB;NB;RB;VB;WB;XB;BC;CC;DC;EC;GC;HC;MC;NC;PC;SC;WC;BD;ED;FD;ID;PD;QD;TD;UD;WD;FE;HE;PE;RE;SE;TE;WE;XE;,511154,249058,BA;GA;IA;KA;OA;QA;WA;XA;AB;DB;GB;JB;KB;LB;QB;UB;VB;WB;FC;GC;KC;LC;MC;PC;SC;VC;DD;GD;HD;KD;ND;PD;QD;SD;TD;CE;DE;EE;FE;IE;ME;PE;QE;SE;UE;VE;WE;XE;
11,441703,508156,248516,BA;DA;FA;GA;KA;NA;SA;UA;WA;XA;AB;BB;FB;GB;HB;KB;MB;NB;RB;VB;WB;XB;BC;CC;DC;EC;GC;HC;MC;NC;PC;SC;WC;BD;ED;FD;ID;PD;QD;TD;UD;WD;FE;HE;PE;RE;SE;TE;WE;XE;,511154,249058,BA;GA;IA;KA;OA;QA;WA;XA;AB;DB;GB;JB;KB;LB;QB;UB;VB;WB;FC;GC;KC;LC;MC;PC;SC;VC;DD;GD;HD;KD;ND;PD;QD;SD;TD;CE;DE;EE;FE;IE;ME;PE;QE;SE;UE;VE;WE;XE;
