Executing Genetic Algorithm with parameters: 
capacity = 250000; maxIterations = 75; popSize = 1000; pc = 0.7; pm = 0.001; sameFitnessValueAbortPercentage = 0.9; threadPoolSize = 4

iteration,aValue,cValue,cWeight,cContent,bValue,bWeight,bContent
1,-140534,511514,249606,FA;GA;KA;OA;PA;RA;TA;UA;WA;AB;BB;CB;GB;HB;IB;KB;MB;NB;QB;RB;SB;TB;VB;WB;DC;IC;KC;PC;VC;AD;CD;ED;FD;GD;ID;JD;PD;RD;TD;VD;WD;XD;EE;FE;IE;ME;OE;PE;RE;VE;,511514,249606,FA;GA;KA;OA;PA;RA;TA;UA;WA;AB;BB;CB;GB;HB;IB;KB;MB;NB;QB;RB;SB;TB;VB;WB;DC;IC;KC;PC;VC;AD;CD;ED;FD;GD;ID;JD;PD;RD;TD;VD;WD;XD;EE;FE;IE;ME;OE;PE;RE;VE;
2,-81601.3,511514,249606,FA;GA;KA;OA;PA;RA;TA;UA;WA;AB;BB;CB;GB;HB;IB;KB;MB;NB;QB;RB;SB;TB;VB;WB;DC;IC;KC;PC;VC;AD;CD;ED;FD;GD;ID;JD;PD;RD;TD;VD;WD;XD;EE;FE;IE;ME;OE;PE;RE;VE;,511514,249606,FA;GA;KA;OA;PA;RA;TA;UA;WA;AB;BB;CB;GB;HB;IB;KB;MB;NB;QB;RB;SB;TB;VB;WB;DC;IC;KC;PC;VC;AD;CD;ED;FD;GD;ID;JD;PD;RD;TD;VD;WD;XD;EE;FE;IE;ME;OE;PE;RE;VE;
3,33717,511514,249606,FA;GA;KA;OA;PA;RA;TA;UA;WA;AB;BB;CB;GB;HB;IB;KB;MB;NB;QB;RB;SB;TB;VB;WB;DC;IC;KC;PC;VC;AD;CD;ED;FD;GD;ID;JD;PD;RD;TD;VD;WD;XD;EE;FE;IE;ME;OE;PE;RE;VE;,511514,249606,FA;GA;KA;OA;PA;RA;TA;UA;WA;AB;BB;CB;GB;HB;IB;KB;MB;NB;QB;RB;SB;TB;VB;WB;DC;IC;KC;PC;VC;AD;CD;ED;FD;GD;ID;JD;PD;RD;TD;VD;WD;XD;EE;FE;IE;ME;OE;PE;RE;VE;
4,157429,512166,247988,EA;FA;HA;JA;KA;MA;OA;PA;QA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;PC;QC;TC;UC;ID;JD;LD;OD;PD;QD;UD;WD;XD;AE;BE;IE;KE;ME;OE;QE;RE;SE;TE;XE;,512166,247988,EA;FA;HA;JA;KA;MA;OA;PA;QA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;PC;QC;TC;UC;ID;JD;LD;OD;PD;QD;UD;WD;XD;AE;BE;IE;KE;ME;OE;QE;RE;SE;TE;XE;
5,287869,513840,248929,AA;BA;GA;OA;TA;VA;WA;XA;BB;DB;EB;GB;HB;KB;MB;PB;SB;DC;EC;FC;GC;HC;JC;KC;PC;QC;SC;TC;VC;AD;FD;JD;KD;ND;TD;AE;BE;DE;EE;IE;ME;NE;PE;SE;TE;UE;WE;XE;,513840,248929,AA;BA;GA;OA;TA;VA;WA;XA;BB;DB;EB;GB;HB;KB;MB;PB;SB;DC;EC;FC;GC;HC;JC;KC;PC;QC;SC;TC;VC;AD;FD;JD;KD;ND;TD;AE;BE;DE;EE;IE;ME;NE;PE;SE;TE;UE;WE;XE;
6,355788,512763,246328,AA;FA;IA;JA;KA;LA;NA;OA;VA;XA;DB;FB;KB;NB;PB;RB;TB;XB;AC;DC;JC;MC;PC;QC;SC;TC;VC;AD;FD;JD;KD;ND;TD;AE;BE;DE;EE;JE;KE;LE;OE;PE;QE;RE;VE;WE;XE;,513840,248929,AA;BA;GA;OA;TA;VA;WA;XA;BB;DB;EB;GB;HB;KB;MB;PB;SB;DC;EC;FC;GC;HC;JC;KC;PC;QC;SC;TC;VC;AD;FD;JD;KD;ND;TD;AE;BE;DE;EE;IE;ME;NE;PE;SE;TE;UE;WE;XE;
7,385020,513993,248673,EA;FA;HA;JA;KA;MA;OA;PA;QA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;PC;QC;TC;UC;ID;JD;LD;OD;PD;QD;TD;UD;VD;WD;BE;GE;IE;KE;PE;RE;SE;TE;UE;VE;XE;,513993,248673,EA;FA;HA;JA;KA;MA;OA;PA;QA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;PC;QC;TC;UC;ID;JD;LD;OD;PD;QD;TD;UD;VD;WD;BE;GE;IE;KE;PE;RE;SE;TE;UE;VE;XE;
8,403328,512609,248981,BA;EA;GA;HA;JA;MA;OA;PA;QA;TA;VA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;PC;QC;TC;UC;ID;JD;LD;OD;PD;QD;UD;WD;XD;AE;BE;FE;HE;JE;ME;NE;OE;PE;TE;UE;XE;,513993,248673,EA;FA;HA;JA;KA;MA;OA;PA;QA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;PC;QC;TC;UC;ID;JD;LD;OD;PD;QD;TD;UD;VD;WD;BE;GE;IE;KE;PE;RE;SE;TE;UE;VE;XE;
9,403287,512897,248907,AA;BA;EA;FA;LA;MA;OA;PA;QA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;BC;DC;GC;IC;KC;LC;NC;RC;SC;XC;ED;FD;GD;HD;KD;LD;MD;PD;SD;UD;VD;XD;BE;DE;EE;GE;PE;QE;VE;,513993,248673,EA;FA;HA;JA;KA;MA;OA;PA;QA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;PC;QC;TC;UC;ID;JD;LD;OD;PD;QD;TD;UD;VD;WD;BE;GE;IE;KE;PE;RE;SE;TE;UE;VE;XE;
10,409155,513305,249809,AA;BA;DA;FA;KA;MA;OA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;OC;PC;RC;VC;WC;XC;AD;BD;FD;GD;HD;ID;JD;LD;OD;QD;TD;WD;CE;DE;EE;GE;HE;JE;ME;NE;OE;QE;TE;VE;WE;,513993,248673,EA;FA;HA;JA;KA;MA;OA;PA;QA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;PC;QC;TC;UC;ID;JD;LD;OD;PD;QD;TD;UD;VD;WD;BE;GE;IE;KE;PE;RE;SE;TE;UE;VE;XE;
11,415994,513305,249809,AA;BA;DA;FA;KA;MA;OA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;OC;PC;RC;VC;WC;XC;AD;BD;FD;GD;HD;ID;JD;LD;OD;QD;TD;WD;CE;DE;EE;GE;HE;JE;ME;NE;OE;QE;TE;VE;WE;,513993,248673,EA;FA;HA;JA;KA;MA;OA;PA;QA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;PC;QC;TC;UC;ID;JD;LD;OD;PD;QD;TD;UD;VD;WD;BE;GE;IE;KE;PE;RE;SE;TE;UE;VE;XE;
12,421894,513305,249809,AA;BA;DA;FA;KA;MA;OA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;OC;PC;RC;VC;WC;XC;AD;BD;FD;GD;HD;ID;JD;LD;OD;QD;TD;WD;CE;DE;EE;GE;HE;JE;ME;NE;OE;QE;TE;VE;WE;,513993,248673,EA;FA;HA;JA;KA;MA;OA;PA;QA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;PC;QC;TC;UC;ID;JD;LD;OD;PD;QD;TD;UD;VD;WD;BE;GE;IE;KE;PE;RE;SE;TE;UE;VE;XE;
13,413974,514104,249453,BA;FA;IA;JA;MA;PA;SA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;PC;QC;TC;UC;ID;JD;LD;OD;PD;QD;UD;WD;XD;AE;BE;DE;HE;IE;JE;ME;NE;UE;XE;,514104,249453,BA;FA;IA;JA;MA;PA;SA;TA;VA;WA;XA;AB;FB;IB;KB;NB;QB;VB;XB;AC;DC;JC;MC;PC;QC;TC;UC;ID;JD;LD;OD;PD;QD;UD;WD;XD;AE;BE;DE;HE;IE;JE;ME;NE;UE;XE;
