Executing Genetic Algorithm with parameters: 
capacity = 250000; maxIterations = 75; popSize = 200; pc = 0.7; pm = 0.001; sameFitnessValueAbortPercentage = 0.9; threadPoolSize = 4

iteration,aValue,cValue,cWeight,cContent,bValue,bWeight,bContent
1,-135558,496066,244923,CA;FA;GA;MA;NA;PA;UA;XA;BB;FB;GB;IB;KB;MB;OB;QB;TB;UB;WB;DC;GC;JC;KC;LC;XC;AD;BD;CD;ED;GD;HD;JD;KD;MD;ND;QD;TD;VD;WD;XD;BE;CE;FE;IE;ME;OE;SE;UE;XE;,496066,244923,CA;FA;GA;MA;NA;PA;UA;XA;BB;FB;GB;IB;KB;MB;OB;QB;TB;UB;WB;DC;GC;JC;KC;LC;XC;AD;BD;CD;ED;GD;HD;JD;KD;MD;ND;QD;TD;VD;WD;XD;BE;CE;FE;IE;ME;OE;SE;UE;XE;
2,-76280,501466,247153,CA;FA;GA;IA;NA;OA;PA;QA;SA;TA;BB;EB;FB;GB;HB;JB;MB;SB;TB;WB;AC;CC;IC;LC;PC;RC;BD;CD;DD;GD;ID;JD;LD;PD;QD;TD;AE;FE;GE;JE;KE;ME;OE;QE;UE;VE;WE;,501466,247153,CA;FA;GA;IA;NA;OA;PA;QA;SA;TA;BB;EB;FB;GB;HB;JB;MB;SB;TB;WB;AC;CC;IC;LC;PC;RC;BD;CD;DD;GD;ID;JD;LD;PD;QD;TD;AE;FE;GE;JE;KE;ME;OE;QE;UE;VE;WE;
3,34688.1,504343,249495,CA;FA;GA;IA;NA;OA;PA;QA;SA;TA;BB;EB;FB;GB;HB;JB;MB;SB;TB;WB;AC;CC;IC;LC;PC;RC;BD;CD;DD;GD;ID;JD;LD;PD;QD;TD;AE;EE;FE;GE;IE;KE;ME;NE;RE;TE;UE;,504343,249495,CA;FA;GA;IA;NA;OA;PA;QA;SA;TA;BB;EB;FB;GB;HB;JB;MB;SB;TB;WB;AC;CC;IC;LC;PC;RC;BD;CD;DD;GD;ID;JD;LD;PD;QD;TD;AE;EE;FE;GE;IE;KE;ME;NE;RE;TE;UE;
4,226759,504520,249810,FA;GA;HA;JA;KA;LA;RA;UA;VA;XA;AB;CB;DB;LB;OB;QB;SB;TB;UB;BC;CC;EC;HC;KC;LC;MC;PC;QC;VC;WC;XC;AD;ED;FD;GD;KD;LD;ND;OD;TD;VD;WD;XD;AE;CE;EE;FE;GE;IE;KE;ME;QE;TE;XE;,504520,249810,FA;GA;HA;JA;KA;LA;RA;UA;VA;XA;AB;CB;DB;LB;OB;QB;SB;TB;UB;BC;CC;EC;HC;KC;LC;MC;PC;QC;VC;WC;XC;AD;ED;FD;GD;KD;LD;ND;OD;TD;VD;WD;XD;AE;CE;EE;FE;GE;IE;KE;ME;QE;TE;XE;
5,375663,507726,249576,BA;DA;EA;FA;GA;JA;MA;PA;QA;SA;WA;BB;DB;EB;LB;NB;OB;WB;AC;BC;CC;HC;IC;LC;OC;SC;BD;CD;DD;GD;ID;JD;LD;PD;QD;TD;AE;FE;GE;ME;NE;OE;PE;XE;,507726,249576,BA;DA;EA;FA;GA;JA;MA;PA;QA;SA;WA;BB;DB;EB;LB;NB;OB;WB;AC;BC;CC;HC;IC;LC;OC;SC;BD;CD;DD;GD;ID;JD;LD;PD;QD;TD;AE;FE;GE;ME;NE;OE;PE;XE;
6,432512,509415,249530,AA;DA;GA;HA;IA;JA;LA;OA;RA;SA;TA;WA;GB;HB;JB;KB;LB;TB;WB;XB;DC;FC;GC;JC;PC;QC;RC;TC;VC;WC;XC;BD;ED;FD;HD;ID;KD;MD;ND;QD;RD;UD;VD;WD;XD;AE;DE;FE;GE;IE;KE;QE;TE;UE;VE;WE;,509415,249530,AA;DA;GA;HA;IA;JA;LA;OA;RA;SA;TA;WA;GB;HB;JB;KB;LB;TB;WB;XB;DC;FC;GC;JC;PC;QC;RC;TC;VC;WC;XC;BD;ED;FD;HD;ID;KD;MD;ND;QD;RD;UD;VD;WD;XD;AE;DE;FE;GE;IE;KE;QE;TE;UE;VE;WE;
7,437334,506526,248138,AA;EA;JA;MA;PA;QA;SA;WA;FB;GB;IB;JB;KB;NB;PB;QB;SB;DC;HC;KC;MC;NC;TC;VC;XC;DD;ED;GD;HD;KD;LD;OD;RD;XD;BE;DE;EE;FE;HE;KE;LE;OE;RE;TE;UE;WE;XE;,509415,249530,AA;DA;GA;HA;IA;JA;LA;OA;RA;SA;TA;WA;GB;HB;JB;KB;LB;TB;WB;XB;DC;FC;GC;JC;PC;QC;RC;TC;VC;WC;XC;BD;ED;FD;HD;ID;KD;MD;ND;QD;RD;UD;VD;WD;XD;AE;DE;FE;GE;IE;KE;QE;TE;UE;VE;WE;
8,419523,507981,249872,AA;EA;JA;KA;MA;PA;QA;SA;WA;GB;HB;KB;PB;QB;TB;UB;VB;WB;BC;DC;GC;HC;KC;NC;OC;SC;VC;WC;CD;GD;HD;KD;LD;OD;RD;XD;BE;DE;EE;FE;HE;KE;LE;OE;RE;TE;VE;WE;,509415,249530,AA;DA;GA;HA;IA;JA;LA;OA;RA;SA;TA;WA;GB;HB;JB;KB;LB;TB;WB;XB;DC;FC;GC;JC;PC;QC;RC;TC;VC;WC;XC;BD;ED;FD;HD;ID;KD;MD;ND;QD;RD;UD;VD;WD;XD;AE;DE;FE;GE;IE;KE;QE;TE;UE;VE;WE;
9,437749,507981,249872,AA;EA;JA;KA;MA;PA;QA;SA;WA;GB;HB;KB;PB;QB;TB;UB;VB;WB;BC;DC;GC;HC;KC;NC;OC;SC;VC;WC;CD;GD;HD;KD;LD;OD;RD;XD;BE;DE;EE;FE;HE;KE;LE;OE;RE;TE;VE;WE;,509415,249530,AA;DA;GA;HA;IA;JA;LA;OA;RA;SA;TA;WA;GB;HB;JB;KB;LB;TB;WB;XB;DC;FC;GC;JC;PC;QC;RC;TC;VC;WC;XC;BD;ED;FD;HD;ID;KD;MD;ND;QD;RD;UD;VD;WD;XD;AE;DE;FE;GE;IE;KE;QE;TE;UE;VE;WE;
10,446718,508002,248891,AA;EA;JA;MA;PA;QA;SA;WA;GB;HB;JB;KB;LB;NB;PB;QB;TB;WB;XB;DC;FC;GC;IC;JC;PC;SC;VC;WC;CD;GD;HD;KD;LD;OD;RD;XD;BE;DE;EE;FE;HE;PE;QE;SE;UE;XE;,509415,249530,AA;DA;GA;HA;IA;JA;LA;OA;RA;SA;TA;WA;GB;HB;JB;KB;LB;TB;WB;XB;DC;FC;GC;JC;PC;QC;RC;TC;VC;WC;XC;BD;ED;FD;HD;ID;KD;MD;ND;QD;RD;UD;VD;WD;XD;AE;DE;FE;GE;IE;KE;QE;TE;UE;VE;WE;
11,438664,505133,247874,AA;EA;JA;MA;PA;QA;RA;SA;TA;WA;GB;HB;JB;KB;LB;PB;TB;WB;XB;DC;FC;GC;JC;PC;QC;RC;TC;VC;XC;AD;CD;ED;FD;GD;ID;KD;LD;MD;ND;OD;TD;UD;WD;CE;EE;KE;LE;RE;SE;VE;XE;,509415,249530,AA;DA;GA;HA;IA;JA;LA;OA;RA;SA;TA;WA;GB;HB;JB;KB;LB;TB;WB;XB;DC;FC;GC;JC;PC;QC;RC;TC;VC;WC;XC;BD;ED;FD;HD;ID;KD;MD;ND;QD;RD;UD;VD;WD;XD;AE;DE;FE;GE;IE;KE;QE;TE;UE;VE;WE;
12,430800,513132,249937,AA;EA;JA;MA;NA;PA;UA;XA;BB;FB;GB;IB;KB;MB;OB;QB;TB;WB;XB;DC;FC;GC;JC;PC;RC;UC;BD;CD;DD;GD;ID;JD;LD;PD;QD;TD;VD;WD;XD;BE;DE;EE;FE;HE;KE;LE;OE;RE;TE;VE;WE;,513132,249937,AA;EA;JA;MA;NA;PA;UA;XA;BB;FB;GB;IB;KB;MB;OB;QB;TB;WB;XB;DC;FC;GC;JC;PC;RC;UC;BD;CD;DD;GD;ID;JD;LD;PD;QD;TD;VD;WD;XD;BE;DE;EE;FE;HE;KE;LE;OE;RE;TE;VE;WE;
13,435648,510458,249606,AA;EA;JA;MA;PA;QA;RA;SA;TA;WA;GB;HB;JB;KB;LB;PB;TB;WB;AC;CC;IC;LC;PC;RC;BD;CD;DD;GD;ID;LD;PD;QD;SD;VD;BE;FE;GE;JE;KE;ME;OE;QE;UE;VE;WE;,513132,249937,AA;EA;JA;MA;NA;PA;UA;XA;BB;FB;GB;IB;KB;MB;OB;QB;TB;WB;XB;DC;FC;GC;JC;PC;RC;UC;BD;CD;DD;GD;ID;JD;LD;PD;QD;TD;VD;WD;XD;BE;DE;EE;FE;HE;KE;LE;OE;RE;TE;VE;WE;
