Executing Genetic Algorithm with parameters: 
capacity = 7500; maxIterations = 75; popSize = 50; pc = 0.7; pm = 0.001; sameFitnessValueAbortPercentage = 0.9; threadPoolSize = 4

iteration,aValue,cValue,cWeight,cContent,bValue,bWeight,bContent
1,482.52,1430,7380,F;H;I;J;M;N;O;,1430,7380,F;H;I;J;M;N;O;
2,901.4,1425,7440,A;B;D;E;I;K;L;N;,1430,7380,F;H;I;J;M;N;O;
3,996.04,1427,7440,A;C;E;F;H;J;K;N;,1430,7380,F;H;I;J;M;N;O;
4,1021.9,1429,7470,A;C;E;F;G;K;L;N;,1430,7380,F;H;I;J;M;N;O;
5,1178.02,1438,7460,A;C;E;F;H;J;K;O;,1438,7460,A;C;E;F;H;J;K;O;
6,1087,1427,7440,A;C;E;F;H;J;K;N;,1438,7460,A;C;E;F;H;J;K;O;
7,1086.48,1427,7440,A;C;E;F;H;J;K;N;,1438,7460,A;C;E;F;H;J;K;O;
8,1047.38,1442,7490,A;C;E;F;H;J;L;O;,1442,7490,A;C;E;F;H;J;L;O;
9,1142.44,1442,7490,A;C;E;F;H;J;L;O;,1442,7490,A;C;E;F;H;J;L;O;
10,1034.36,1438,7490,A;C;E;F;H;J;M;N;,1442,7490,A;C;E;F;H;J;L;O;
11,1225.52,1438,7460,A;C;E;F;H;J;K;O;,1442,7490,A;C;E;F;H;J;L;O;
12,1193.92,1425,7430,C;D;E;F;G;H;M;N;,1442,7490,A;C;E;F;H;J;L;O;
13,1139.12,1421,7420,A;C;D;F;H;J;K;N;,1442,7490,A;C;E;F;H;J;L;O;
14,1126.08,1446,7500,A;C;E;F;G;J;N;O;,1446,7500,A;C;E;F;G;J;N;O;
15,1150.18,1446,7500,A;C;E;F;G;J;N;O;,1446,7500,A;C;E;F;G;J;N;O;
16,1085.38,1427,7450,A;C;E;F;G;J;M;N;,1446,7500,A;C;E;F;G;J;N;O;
17,1169.1,1427,7450,A;C;E;F;G;J;M;N;,1446,7500,A;C;E;F;G;J;N;O;
18,1142.44,1429,7450,A;C;E;F;G;J;M;N;,1446,7500,A;C;E;F;G;J;N;O;
19,1141.12,1429,7430,C;D;E;F;G;H;L;O;,1446,7500,A;C;E;F;G;J;N;O;
20,1220.88,1446,7500,A;C;E;F;G;J;N;O;,1446,7500,A;C;E;F;G;J;N;O;
21,1096.02,1429,7430,C;D;E;F;G;H;L;O;,1446,7500,A;C;E;F;G;J;N;O;
22,1139.12,1429,7430,C;D;E;F;G;H;L;O;,1446,7500,A;C;E;F;G;J;N;O;
23,1236.84,1429,7430,C;D;E;F;G;H;L;O;,1446,7500,A;C;E;F;G;J;N;O;
24,1262.38,1429,7430,C;D;E;F;G;H;L;O;,1446,7500,A;C;E;F;G;J;N;O;
25,1311.88,1429,7430,C;D;E;F;G;H;L;O;,1446,7500,A;C;E;F;G;J;N;O;
26,1230.78,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
27,1307.74,1429,7430,C;D;E;F;G;H;L;O;,1446,7500,A;C;E;F;G;J;N;O;
28,1267.28,1429,7430,C;D;E;F;G;H;L;O;,1446,7500,A;C;E;F;G;J;N;O;
29,1210.16,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
30,1266.78,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
31,1313.2,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
32,1360.6,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
33,1272.58,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
34,1309.24,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
35,1377.42,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
36,1315.4,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
37,1410.58,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
38,1425.24,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
39,1391.72,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
40,1413.08,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
41,1425.82,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
42,1428.82,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
43,1430.26,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;
44,1435.72,1436,7450,C;D;E;F;G;H;M;O;,1446,7500,A;C;E;F;G;J;N;O;

rValue,rWeight,rContent
1446,7500,A;C;E;F;G;J;N;O;

execTime:,5,ms
bestExecTime:,1,ms
bestFitnessIteration:,14
abortIteration:,44
Result is an approximation.
