Executing Genetic Algorithm with parameters: 
capacity = 170; maxIterations = 75; popSize = 50; pc = 0.7; pm = 0.001; sameFitnessValueAbortPercentage = 0.9; threadPoolSize = 4

iteration,aValue,cValue,cWeight,cContent,bValue,bWeight,bContent
1,206.74,1688,165,B;E;G;,1688,165,B;E;G;
2,924.32,1735,169,B;D;G;,1735,169,B;D;G;
3,838.68,1735,169,B;D;G;,1735,169,B;D;G;
4,938.82,1706,167,B;F;G;,1735,169,B;D;G;
5,1183.56,1706,167,B;F;G;,1735,169,B;D;G;
6,1242.26,1735,169,B;D;G;,1735,169,B;D;G;
7,1395.5,1735,169,B;D;G;,1735,169,B;D;G;
8,1343.7,1735,169,B;D;G;,1735,169,B;D;G;
9,1246.9,1735,169,B;D;G;,1735,169,B;D;G;
10,1371.72,1735,169,B;D;G;,1735,169,B;D;G;
11,1352.5,1735,169,B;D;G;,1735,169,B;D;G;
12,1227.64,1735,169,B;D;G;,1735,169,B;D;G;
13,1393.26,1735,169,B;D;G;,1735,169,B;D;G;
14,1291.8,1735,169,B;D;G;,1735,169,B;D;G;
15,1478.58,1735,169,B;D;G;,1735,169,B;D;G;
16,1143.1,1735,169,B;D;G;,1735,169,B;D;G;
17,1406.5,1735,169,B;D;G;,1735,169,B;D;G;
18,1348.34,1735,169,B;D;G;,1735,169,B;D;G;
19,1359.72,1735,169,B;D;G;,1735,169,B;D;G;
20,1382.94,1735,169,B;D;G;,1735,169,B;D;G;
21,1480.42,1735,169,B;D;G;,1735,169,B;D;G;
22,1533.52,1735,169,B;D;G;,1735,169,B;D;G;
23,1474.92,1735,169,B;D;G;,1735,169,B;D;G;
24,1479.02,1735,169,B;D;G;,1735,169,B;D;G;
25,1509.6,1735,169,B;D;G;,1735,169,B;D;G;
26,1523.84,1735,169,B;D;G;,1735,169,B;D;G;
27,1531.74,1735,169,B;D;G;,1735,169,B;D;G;
28,1618.3,1735,169,B;D;G;,1735,169,B;D;G;
29,1515.72,1735,169,B;D;G;,1735,169,B;D;G;
30,1608.46,1735,169,B;D;G;,1735,169,B;D;G;
31,1646.32,1735,169,B;D;G;,1735,169,B;D;G;
32,1569.24,1735,169,B;D;G;,1735,169,B;D;G;
33,1410.48,1735,169,B;D;G;,1735,169,B;D;G;
34,1540.5,1735,169,B;D;G;,1735,169,B;D;G;
35,1470.68,1735,169,B;D;G;,1735,169,B;D;G;
36,1511.1,1735,169,B;D;G;,1735,169,B;D;G;
37,1563.34,1735,169,B;D;G;,1735,169,B;D;G;
38,1580.38,1735,169,B;D;G;,1735,169,B;D;G;
39,1474.98,1735,169,B;D;G;,1735,169,B;D;G;
40,1534.58,1735,169,B;D;G;,1735,169,B;D;G;
41,1654.08,1735,169,B;D;G;,1735,169,B;D;G;
42,1664.7,1735,169,B;D;G;,1735,169,B;D;G;
43,1726.54,1735,169,B;D;G;,1735,169,B;D;G;
44,1735,1735,169,B;D;G;,1735,169,B;D;G;

rValue,rWeight,rContent
1735,169,B;D;G;

execTime:,5,ms
bestExecTime:,0,ms
bestFitnessIteration:,2
abortIteration:,44
Result is an approximation.
